month,day,land_atmosphere,sea_atmosphere,precipitation,temperature,humidity,wind_speed,wind_direction,snow_falling,melted_snow,snow_depth
1,1,1017.8,1021.2,1,-1.1,59,7.1,315,2,1,27
1,2,1008.9,1012.2,3.5,1.6,75,6.5,292.5,0,2,25
1,3,1009.9,1013.2,0,0.3,52,6.7,292.5,0,4,21
1,4,1009.1,1012.4,0,-1.7,57,5.2,292.5,0,0,21
1,5,1010.5,1013.9,0.5,-3.9,61,6.8,315,2,-2,23
1,6,1010,1013.3,1.5,-2.3,66,6.4,292.5,5,-4,27
1,7,1005.9,1009.2,0,-2.7,58,6.9,315,0,2,25
1,8,1006.3,1009.6,0.5,-2.5,68,5,270,1,1,24
1,9,1010.8,1014.2,0.5,-3.6,62,6.7,292.5,2,-1,25
1,10,1008.9,1012.3,2,-4.2,69,5.9,315,3,-2,27
1,11,1011.8,1015.2,0,-6.7,48,6.6,292.5,0,1,26
1,12,1008.9,1012.3,1,-6.4,68,7.3,315,2,-1,27
1,13,1006.9,1010.2,0,-4.2,60,3.5,157.5,0,1,26
1,14,1005.9,1009.2,12,-3.7,72,8.8,315,16,-13,39
1,15,1012,1015.4,0,-6.3,69,3.9,157.5,1,0,39
1,16,1013.2,1016.6,6,-5,68,4.9,270,6,-1,40
1,17,1018.7,1022.1,0.5,-5.1,73,5.3,0,0,0,40
1,18,1011.6,1015,10,-5.9,74,4.7,112.5,8,-4,44
1,19,996.2,999.5,11.5,-1.4,80,5.7,337.5,14,-14,58
1,20,1003.9,1007.2,0.5,-0.5,60,10,337.5,0,3,55
1,21,1010.5,1013.8,8,-2.1,65,9.4,315,4,1,54
1,22,1012,1015.3,7.5,-2.7,72,7.2,315,14,-12,66
1,23,1011.2,1014.6,0,-3.7,59,3.8,247.5,0,4,62
1,24,1000.2,1003.5,0,-5.7,68,3.9,90,0,5,57
1,25,1008.3,1011.7,2.5,-6.7,73,3.5,90,6,-1,58
1,26,1012.6,1015.9,0,0,66,5.5,157.5,0,2,56
1,27,1014.9,1018.3,3.5,-1.7,71,8.8,315,9,1,55
1,28,1019.6,1023,1,-3.9,62,8.4,315,0,1,54
1,29,1022.8,1026.2,0,-5,48,8.5,292.5,0,3,51
1,30,1019,1022.4,0.5,-5.8,66,3.4,247.5,3,0,51
1,31,1015.4,1018.8,0,-5.6,55,8,315,0,2,49
2,1,1015.6,1019,0,-5.5,45,7.1,292.5,0,1,48
